Govern: Functional Area summary (note: this table will update automatically based on the scores you enter on rows 36 to 71 below),,,,,,
Category,Name,Score today,6-month target,12-month target,Goal score,
Organizational Context (GV.OC),Org Context,2,2.5,3,4,
Risk Management Strategy (GV.RM),Risk Mgmt Strategy,2,2.5,3,4,
"Roles, Responsibilities, and Authorities (GV.RR)","Roles, Resp, Auth",2,2.5,3,4,
Policy (GV.PO),Policy,2,2.5,3,4,
Oversight (GV.OV),Oversight,2,2.5,3,4,
Cybersecurity Supply Chain Risk Management (GV.SC),Supply Chain Risk,2,2.5,3,4,
,,,,,,
"Govern: Self-scoring worksheet (note: enter a score from 0 to 4, in column D, E, F, and G for all of the cells that are shaded light green)",,,,,,
Organizational Context,,Score today,6-month target,12-month target,Goal score,Notes/action items
GV.OC-01: The organizational mission is understood and informs cybersecurity risk management,GV.OC-01,2,2.5,3,4,
"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",GV.OC-02,2,2.5,3,4,
"GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed",GV.OC-03,2,2.5,3,4,
"GV.OC-04: Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",GV.OC-04,2,2.5,3,4,
"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",GV.OC-05,2,2.5,3,4,
Risk Management Strategy,,Score today,6-month target,12-month target,Goal score,Notes/action items
GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders,GV.RM-01,2,2.5,3,4,
"GV.RM-02: Risk appetite and risk tolerance statements are determined, communicated, and maintained",GV.RM-02,2,2.5,3,4,
GV.RM-03: Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,GV.RM-03,2,2.5,3,4,
GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated,GV.RM-04,2,2.5,3,4,
"GV.RM-05: Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",GV.RM-05,2,2.5,3,4,
