Identify: Functional Area summary (note: this table will update automatically based on the scores you enter on rows 34 to 56 below),,,,,,
Category,Name,Score today,6-month target,12-month target,Goal score,
Asset Management (ID.AM),Asset Mgmt,2,2.5,3,4,
Risk Assessment (ID.RA),Risk Assessment,2,2.5,3,4,
Improvement (ID.IM),Improvement,2,2.5,3,4,
,,,,,,
,,,,,,
"Identify: Self-scoring worksheet (note: enter a score from 0 to 4, in column D, E, F, and G for all of the cells that are shaded light green)",,,,,,
Asset Management,,Score today,6-month target,12-month target,Goal score,Notes/action items
ID.AM-01: Inventories of hardware managed by the organization are maintained,ID.AM-01,2,2.5,3,4,
"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",ID.AM-02,2,2.5,3,4,
ID.AM-03: Representations of the organization’s authorized network communication and internal and external network data flows are maintained ,ID.AM-03,2,2.5,3,4,
ID.AM-04: Inventories of services provided by suppliers are maintained ,ID.AM-04,2,2.5,3,4,
"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",ID.AM-05,2,2.5,3,4,
ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,ID.AM-07,2,2.5,3,4,
"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their lifecycle",ID.AM-08,2,2.5,3,4,
Risk Assessment,,Score today,6-month target,12-month target,Goal score,Notes/action items
"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",ID.RA-01,2,2.5,3,4,
ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,ID.RA-02,2,2.5,3,4,
ID.RA-03: Internal and external threats to the organization are identified and recorded,ID.RA-03,2,2.5,3,4,
ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,ID.RA-04,2,2.5,3,4,
"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",ID.RA-05,2,2.5,3,4,
"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated",ID.RA-06,2,2.5,3,4,
"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",ID.RA-07,2,2.5,3,4,
"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established",ID.RA-08,2,2.5,3,4,
ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use,ID.RA-09,2,2.5,3,4,
ID.RA-10: Critical suppliers are assessed prior to acquisition,ID.RA-10,2,2.5,3,4,
Improvement,,Score today,6-month target,12-month target,Goal score,Notes/action items
