,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Respond: Functional Area summary (note: this table will update automatically based on the scores you enter on rows 35 to 50 below),Name,Score today,6-month target,12-month target,Goal score,
Incident Management (RS.MA),Incident Management,2,2.5,3,4,
Incident Analysis (RS.AN),Incident Analysis,2,2.5,3,4,
Incident Response Reporting and Communication (RS.CO),Reporting and Comms,2,2.5,3,4,
Incident Mitigation (RS.MI),Incident Mitigation,2,2.5,3,4,
,,,,,,
,,,,,,
"Respond: Self-scoring worksheet (note: enter a score from 0 to 4, in column D, E, F, and G for all of the cells that are shaded light green)",,,,,,
Incident Management,,Score today,6-month target,12-month target,Goal score,Notes/action items
RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared ,RS.MA-01,2,2.5,3,4,
RS.MA-02: Incident reports are triaged and validated,RS.MA-02,2,2.5,3,4,
RS.MA-03: Incidents are categorized and prioritized,RS.MA-03,2,2.5,3,4,
RS.MA-04: Incidents are escalated or elevated as needed,RS.MA-04,2,2.5,3,4,
RS.MA-05: The criteria for initiating incident recovery are applied ,RS.MA-05,2,2.5,3,4,
Incident Analysis,,Score today,6-month target,12-month target,Goal score,Notes/action items
RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,RS.AN-03,2,2.5,3,4,
"RS.AN-06: Actions performed during an investigation are recorded, and the records’ integrity and provenance are preserved",RS.AN-06,2,2.5,3,4,
"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved",RS.AN-07,2,2.5,3,4,
RS.AN-08: An incident’s magnitude is estimated and validated,RS.AN-08,2,2.5,3,4,
Incident Response Reporting and Communication,,Score today,6-month target,12-month target,Goal score,Notes/action items
RS.CO-02: Internal and external stakeholders are notified of incidents,RS.CO-02,2,2.5,3,4,
RS.CO-03: Information is shared with designated internal and external stakeholders,RS.CO-03,2,2.5,3,4,
Incident Mitigation,,Score today,6-month target,12-month target,Goal score,Notes/action items
RS.MI-01: Incidents are contained,RS.IM-01,2,2.5,3,4,
RS.MI-02: Incidents are eradicated,RS.IM-02,2,2.5,3,4,
,,,,,,
,,,,,,
,17,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
